stream,transition,from,to,covariate_drift,concept_drift,label_drift,transfer_gap,n_a,n_b
radio-shift,env00->env01,env00,env01,0.07070940004625255,0.009811821393668652,0.01800000000000003,0.6958760619163513,4000,4000
radio-shift,env01->env02,env01,env02,0.12441332168836321,0.010830255225300789,0.009000000000000008,0.873161256313324,4000,4000
radio-shift,env02->env03,env02,env03,0.1765906840189225,0.02064378932118416,0.012499999999999997,1.1054139137268066,4000,4000
radio-shift,env03->env04,env03,env04,0.3169959113597017,0.02075912244617939,0.023250000000000007,0.8487962484359741,4000,4000
radio-shift,env04->env05,env04,env05,0.2944725708154903,0.026885712519288063,0.02500000000000001,1.6439450979232788,4000,4000
sched-shift,env00_coloran->env01_coloran,env00_coloran,env01_coloran,0.21157976976687962,0.0166256632655859,0.12699999999999997,0.9017263054847717,4000,4000
sched-shift,env01_coloran->env02_coloran,env01_coloran,env02_coloran,0.10576571062964835,0.01305735856294632,0.07749999999999999,1.3033894300460815,4000,4000
sched-shift,env02_coloran->env03_commag,env02_coloran,env03_commag,0.7854282629706276,0.056466538459062576,0.20925000000000005,87.61534118652344,4000,4000
sched-shift,env03_commag->env04_commag,env03_commag,env04_commag,0.16656522163541576,0.013317760080099106,0.05275000000000002,4.111166000366211,4000,4000
sched-shift,env04_commag->env05_commag,env04_commag,env05_commag,0.060050839159901045,0.0013747165212407708,0.06325000000000001,0.4670671820640564,4000,4000
slice-shift,env00->env01,env00,env01,0.07980204114402653,0.007042023818939924,0.03649999999999998,0.8138843774795532,4000,4000
slice-shift,env01->env02,env01,env02,0.06242456473707217,0.0033810753375291824,0.011250000000000038,0.7073168754577637,4000,4000
slice-shift,env02->env03,env02,env03,0.06953296841460879,0.002934228628873825,0.03849999999999998,0.6626979112625122,4000,4000
slice-shift,env03->env04,env03,env04,0.09171593744050223,0.0074669779278337955,0.02124999999999999,0.8830909132957458,4000,4000
slice-shift,env04->env05,env04,env05,0.10551976168559125,0.013676782138645649,0.08200000000000002,0.8675809502601624,4000,4000
slice-shift,env05->env06,env05,env06,0.13377030748978735,0.018876265734434128,0.15075,1.6526684761047363,4000,4000
slice-shift,env06->env07,env06,env07,0.13606210005342048,0.01874145120382309,0.1315,1.5829075574874878,4000,4000
