stream,metric,method,bwt,memory_mb,p99_ms,near_rt,vs_ref,ci,d_z,p,holm,avg_perf,forgetting
cross-dataset,bwt,agem,"-0.0014 [-0.0021, -0.0008]",3.998,1.02,True,+0.0047,"[+0.0039, +0.0055]",4.36,0.0652,,,
cross-dataset,bwt,bilevel,"-0.0257 [-0.0288, -0.0225]",0.761,0.9,True,-0.0196,"[-0.0229, -0.0163]",-4.41,0.0652,,,
cross-dataset,bwt,ewc,"-0.0179 [-0.0202, -0.0162]",1.522,0.95,True,-0.0119,"[-0.0146, -0.0101]",-3.84,0.0652,,,
cross-dataset,bwt,finetune,"-0.0239 [-0.0264, -0.0222]",0.0,0.9,True,-0.0179,"[-0.0211, -0.0153]",-4.86,0.0652,,,
cross-dataset,bwt,joint,"0.0000 [0.0000, 0.0000]",0.0,1.21,True,+0.0061,"[+0.0052, +0.0069]",5.64,0.0652,,,
cross-dataset,bwt,lwf,"-0.0005 [-0.0032, 0.0023]",0.761,0.89,True,+0.0056,"[+0.0023, +0.0088]",1.32,0.0652,,,
cross-dataset,bwt,nestedric,"-0.0097 [-0.0153, -0.0041]",3.999,2.12,True,-0.0036,"[-0.0094, +0.0022]",-0.46,0.3176,,,
cross-dataset,bwt,replay,"-0.0061 [-0.0069, -0.0052]",3.998,0.9,True,,,,,,,
cross-dataset,bwt,si,"-0.0061 [-0.0078, -0.0044]",3.043,0.9,True,-0.0000,"[-0.0024, +0.0023]",-0.01,1.0,,,
cross-dataset,bwt,titans,"-0.0226 [-0.0253, -0.0208]",4.0,0.9,True,-0.0165,"[-0.0199, -0.0146]",-4.33,0.0652,,,
cyclic,bwt,agem,"0.0000 [-0.0004, 0.0004]",3.998,0.9,True,+0.0065,"[+0.0051, +0.0079]",3.68,0.0652,,,
cyclic,bwt,bilevel,"-0.0113 [-0.0130, -0.0096]",0.761,0.92,True,-0.0048,"[-0.0067, -0.0028]",-1.9,0.0652,,,
cyclic,bwt,ewc,"-0.0064 [-0.0081, -0.0047]",1.522,0.9,True,+0.0001,"[-0.0018, +0.0018]",0.06,0.8753,,,
cyclic,bwt,finetune,"-0.0087 [-0.0108, -0.0065]",0.0,1.18,True,-0.0021,"[-0.0044, +0.0001]",-0.74,0.1862,,,
cyclic,bwt,joint,"0.0000 [0.0000, 0.0000]",0.0,0.9,True,+0.0065,"[+0.0054, +0.0077]",4.48,0.0652,,,
cyclic,bwt,lwf,"-0.0094 [-0.0113, -0.0076]",0.761,0.93,True,-0.0029,"[-0.0050, -0.0010]",-1.14,0.0652,,,
cyclic,bwt,nestedric,"0.0140 [0.0110, 0.0168]",3.999,2.15,True,+0.0205,"[+0.0167, +0.0242]",4.21,0.0652,,,
cyclic,bwt,replay,"-0.0065 [-0.0077, -0.0054]",3.998,0.92,True,,,,,,,
cyclic,bwt,si,"-0.0027 [-0.0034, -0.0020]",3.043,1.0,True,+0.0039,"[+0.0026, +0.0051]",2.42,0.0652,,,
cyclic,bwt,titans,"-0.0086 [-0.0098, -0.0073]",4.0,1.09,True,-0.0020,"[-0.0042, -0.0002]",-0.8,0.1245,,,
radio-shift,bwt,agem,"0.0023 [0.0005, 0.0041]",3.998,0.91,True,+0.0081,"[+0.0058, +0.0103]",2.76,0.0652,,,
radio-shift,bwt,bilevel,"0.0006 [-0.0014, 0.0026]",0.761,0.92,True,+0.0064,"[+0.0038, +0.0089]",1.89,0.0652,,,
radio-shift,bwt,ewc,"0.0017 [-0.0000, 0.0032]",1.522,1.03,True,+0.0075,"[+0.0052, +0.0096]",2.64,0.0652,,,
